word,synonym,haiku
ABBOT,prior,"Robed in silence deep / He leads his brothers in prayer / Bells call them to God"
AVOID,evade,"Step around the crack / Some things are best left alone / Wisdom knows when not"
BARON,lord,"He surveys his lands / Power built on older power / Titles pass like coins"
BATCH,group,"Mixed together now / One bowl holds the future bread / Heat transforms the whole"
BLAST,explosion,"The silence then sound / Everything changes at once / Echoes fade to dust"
CLIFF,precipice,"Edge of everything / One step more and gravity wins / Beauty laced with fear"
CLINK,tinkle,"Glasses touch in toast / Crystal voices celebrate / To what lies ahead"
CONCH,shell,"Hold it to your ear / The ocean trapped inside speaks / Waves from far away"
CRUEL,harsh,"Pain dealt without need / Some wounds serve no purpose known / Why hurt what you can"
CUBIC,boxed,"Three dimensions meet / Space contained in equal sides / Geometry's gift"
DECOR,design,"Each piece placed just so / The room tells a story whole / Beauty in the plan"
dodgy,shady,"Something's off with him / Trust your gut when it warns you / Not all smiles are kind"
DUSKY,dim,"Light fades to purple / Day hands off to coming night / The between hour calls"
EIGHT,number,"Two fours make this whole / Infinity laid on its side / Count and count again"
FABLE,tale,"Animals can speak / In stories teaching us truths / The moral remains"
FIERY,blazing,"Heat rolls off in waves / Passion burns too hot to touch / Intense and alive"
FILLY,mare,"Young hooves test the ground / All energy and no fear / Speed before wisdom"
FREAK,oddity,"Different from the rest / What seems strange just hasn't fit / Normal is a cage"
FRUIT,produce,"Sun made this sweetness / Seeds wrapped in tempting bright flesh / Eat and spread the life"
GLINT,gleam,"A blade of sunlight / Cuts the edge of the moment / Then nothing remains"
grass,lawn,"Green carpet spreads wide / Beneath bare feet cool and soft / Earth's simplest pleasure"
GUMBO,stew,"Everything goes in / Flavors mix in the dark roux / Louisiana sings"
MANIC,frenzied,"Energy that burns / Too much too fast without rest / The crash will come soon"
MYRRH,resin,"Gift of ancient kings / Incense from another time / Sacred smoke rises"
OOMPH,vigor,"Lacking what it needs / Add force to make impact felt / Power finds its mark"
PECAN,nut,"Southern sweetness hides / Inside the hard shell waits / Pie filling to be"
POSSE,gang,"The group rides as one / Searching for what must be found / Numbers add to strength"
PRISM,crystal,"Light enters as one / Exits scattered into many / Rainbow in the glass"
PROOF,evidence,"This shows it is true / The argument rests on facts / Believe what is shown"
QUARK,particle,"Smaller than the small / Building blocks for building blocks / Physics goes deeper"
QUILT,blanket,"Pieces stitched to whole / Warmth made from scraps of other things / History in fabric"
RACER,speedster,"Fast is all she knows / The clock is the enemy / Winning needs no brake"
RUGBY,sport,"Bodies clash and strain / The ball moves through pure will / Mud and glory mixed"
segue,transition,"From one thought to next / Seamlessly the bridge connects / Conversation flows"
SIREN,alarm,"The sound pierces all / Warning or temptation calls / Either way take note"
SPEED,velocity,"Fast becomes the goal / Time compresses in the rush / Slow is left behind"
SPOOL,reel,"Thread waits in still loops / Patient circles hold their breath / Until hands give motion"
STRUT,swagger,"The walk says it all / Confidence in every step / See me as I go"
SULLY,tarnish,"The name is now stained / What was pure has been muddied / Reputation damaged"
SUMAC,plant,"Red clusters hang bright / The tart spice waits to be ground / Middle Eastern tang"
TRIAL,test,"The proving begins / What is claimed must be shown true / Evidence decides"
WAXEN,pallid,"The color of death / Pale and slightly shining / Life drained away"
WHITE,pale,"The absence of color / Snow and bone and clean sheets share / Purity in hue"
